AÃ±o,Mes,Tipo,Partido,Votos,Electos
1982, 10, Congreso, EG, 22192,0
1982, 10, Congreso, PCE (M-L), 23186,0
1982, 10, Congreso, UCE, 24044,0
1982, 10, Congreso, CC, 25792,0
1982, 10, Congreso, PCOE, 25830,0
1982, 10, Congreso, EU, 26148,0
1982, 10, Congreso, SE, 28451,0
1982, 10, Congreso, NE, 30643,0
1982, 10, Congreso, UPC, 35013,0
1982, 10, Congreso, B-PSG, 38437,0
1982, 10, Congreso, PCC, 47249,0
1982, 10, Congreso, PSA-PA, 84474,0
1982, 10, Congreso, EE, 100326,1
1982, 10, Congreso, PST, 103133,0
1982, 10, Congreso, FN, 108746,0
1982, 10, Congreso, ERC, 138118,1
1982, 10, Congreso, HB, 210601,2
1982, 10, Congreso, EAJ-PNV, 395656,8
1982, 10, Congreso, CDS, 604309,2
1982, 10, Congreso, CIU, 772726,12
1982, 10, Congreso, PSUC, 846515,4
1982, 10, Congreso, UCD, 1425093,11
1982, 10, Congreso, UPN-AP-PDP, 5548107,107
1982, 10, Congreso, PSOE, 10127392,202
1986, 06, Congreso, EMK, 0,0
1986, 06, Congreso, LKI, 0,0
1986, 06, Congreso, PAEC, 254,0
1986, 06, Congreso, AE-AIC, 601,0
1986, 06, Congreso, PROV, 756,0
1986, 06, Congreso, CA, 758,0
1986, 06, Congreso, PANCAL, 1047,0
1986, 06, Congreso, PED, 1169,0
1986, 06, Congreso, PRM, 1401,0
1986, 06, Congreso, CN, 1886,0
1986, 06, Congreso, PMCN, 1932,0
1986, 06, Congreso, LOC, 1952,0
1986, 06, Congreso, ENV-URV, 2116,0
1986, 06, Congreso, PREPAL, 2449,0
1986, 06, Congreso, CL, 2520,0
1986, 06, Congreso, ADEI, 3857,0
1986, 06, Congreso, PSDC, 4885,0
1986, 06, Congreso, PORE, 5126,0
1986, 06, Congreso, CUN, 5209,0
1986, 06, Congreso, PSM-EN, 7539,0
1986, 06, Congreso, PSPA, 14999,0
1986, 06, Congreso, EU, 16091,0
1986, 06, Congreso, POSI, 21853,0
1986, 06, Congreso, BNG, 27049,0
1986, 06, Congreso, UPR, 27473,0
1986, 06, Congreso, VERDE, 28318,0
1986, 06, Congreso, AV, 29567,0
1986, 06, Congreso, LV, 31909,0
1986, 06, Congreso, AC-INC, 36892,0
1986, 06, Congreso, UPV, 40264,0
1986, 06, Congreso, UCE, 42451,0
1986, 06, Congreso, FE-JONS, 43449,0
1986, 06, Congreso, PSG-EG, 45574,0
1986, 06, Congreso, PCC, 57107,0
1986, 06, Congreso, UV, 64403,1
1986, 06, Congreso, AIC, 65664,1
1986, 06, Congreso, PAR, 73004,1
1986, 06, Congreso, PST, 77914,0
1986, 06, Congreso, CG, 79972,1
1986, 06, Congreso, ERC, 84628,0
1986, 06, Congreso, PA, 94008,0
1986, 06, Congreso, EE, 107053,2
1986, 06, Congreso, PRD, 194538,0
1986, 06, Congreso, PCE-EPK, 229695,0
1986, 06, Congreso, HB, 231722,5
1986, 06, Congreso, EAJ-PNV, 309610,6
1986, 06, Congreso, PSUC-ENE, 935504,7
1986, 06, Congreso, CIU, 1014258,18
1986, 06, Congreso, CDS, 1861912,19
1986, 06, Congreso, AP-PL-UPN, 5247677,105
1986, 06, Congreso, PSOE, 8901718,184
1987, 06, Parlamento Europeo, PED, 9146,0
1987, 06, Parlamento Europeo, LA, 9881,0
1987, 06, Parlamento Europeo, PANCAL, 12616,0
1987, 06, Parlamento Europeo, PRC, 14553,0
1987, 06, Parlamento Europeo, PCV, 14749,0
1987, 06, Parlamento Europeo, UM, 19066,0
1987, 06, Parlamento Europeo, UCE, 21482,0
1987, 06, Parlamento Europeo, PH, 22333,0
1987, 06, Parlamento Europeo, FE-JONS, 23407,0
1987, 06, Parlamento Europeo, CSD, 25058,0
1987, 06, Parlamento Europeo, POSI, 25270,0
1987, 06, Parlamento Europeo, ANEMYA, 30143,0
1987, 06, Parlamento Europeo, PORE, 30157,0
1987, 06, Parlamento Europeo, EU, 39369,0
1987, 06, Parlamento Europeo, BNG, 53116,0
1987, 06, Parlamento Europeo, CV, 65574,0
1987, 06, Parlamento Europeo, PST, 77132,0
1987, 06, Parlamento Europeo, AIC, 96895,0
1987, 06, Parlamento Europeo, PAR, 105865,0
1987, 06, Parlamento Europeo, LV, 107625,0
1987, 06, Parlamento Europeo, AS, 116761,0
1987, 06, Parlamento Europeo, FN, 122799,0
1987, 06, Parlamento Europeo, UV, 162128,0
1987, 06, Parlamento Europeo, PDP, 170866,0
1987, 06, Parlamento Europeo, PA, 185550,0
1987, 06, Parlamento Europeo, PTE-UC, 222680,0
1987, 06, Parlamento Europeo, PNV-PG-N, 226570,0
1987, 06, Parlamento Europeo, PSG-EG(CIP), 261328,0
1987, 06, Parlamento Europeo, PNG-EA-ERC, 326911,1
1987, 06, Parlamento Europeo, HB, 360952,1
1987, 06, Parlamento Europeo, CIU, 853603,3
1987, 06, Parlamento Europeo, IU (IPE), 1011830,3
1987, 06, Parlamento Europeo, CDS, 1976093,7
1987, 06, Parlamento Europeo, AP, 4747283,17
1987, 06, Parlamento Europeo, PSC-PSOE, 7522706,28
1987, 06, Municipales, PPLM, 165,0
1987, 06, Municipales, PNEM, 169,0
1987, 06, Municipales, UPGO, 207,0
1987, 06, Municipales, UDC, 221,0
1987, 06, Municipales, PSAN, 228,0
1987, 06, Municipales, PSDV, 252,0
1987, 06, Municipales, TAGOROR, 279,0
1987, 06, Municipales, ALCI-I, 397,0
1987, 06, Municipales, PNA, 522,0
1987, 06, Municipales, ARDE, 529,1
1987, 06, Municipales, PSDC-EC, 566,0
1987, 06, Municipales, PUIECB, 600,6
1987, 06, Municipales, PANCAL, 694,0
1987, 06, Municipales, PNC, 701,0
1987, 06, Municipales, PCA, 727,0
1987, 06, Municipales, CSI, 745,0
1987, 06, Municipales, PRMA, 750,2
1987, 06, Municipales, LCR, 757,0
1987, 06, Municipales, AWAÑAC, 761,0
1987, 06, Municipales, P.PIRINEU, 803,21
1987, 06, Municipales, PRE, 887,2
1987, 06, Municipales, PRMU, 974,0
1987, 06, Municipales, AMO-ULE, 983,4
1987, 06, Municipales, FI, 1030,0
1987, 06, Municipales, UPI, 1082,11
1987, 06, Municipales, IUPC, 1090,0
1987, 06, Municipales, UA-PNA, 1128,16
1987, 06, Municipales, ADEIS, 1266,17
1987, 06, Municipales, PREPAL, 1319,12
1987, 06, Municipales, UNI, 1418,1
1987, 06, Municipales, AHI, 1441,9
1987, 06, Municipales, UC, 1717,6
1987, 06, Municipales, PED, 1850,3
1987, 06, Municipales, IF, 1900,6
1987, 06, Municipales, B, 2162,5
1987, 06, Municipales, LOC, 2257,0
1987, 06, Municipales, CGI, 2494,10
1987, 06, Municipales, JJ.EE., 2526,0
1987, 06, Municipales, PSPC, 2557,3
1987, 06, Municipales, UPM, 2622,3
1987, 06, Municipales, CDS-AGI, 2691,20
1987, 06, Municipales, AIL, 2713,16
1987, 06, Municipales, PORE, 2759,0
1987, 06, Municipales, PST, 2891,0
1987, 06, Municipales, PAS, 3077,0
1987, 06, Municipales, MCE, 3113,1
1987, 06, Municipales, PGIS, 3152,18
1987, 06, Municipales, UA-CH.A, 3172,2
1987, 06, Municipales, PEC-V, 3229,0
1987, 06, Municipales, CP, 3234,9
1987, 06, Municipales, UCE, 3380,0
1987, 06, Municipales, AIAM, 3381,0
1987, 06, Municipales, VERDE, 3457,1
1987, 06, Municipales, POSI, 3564,1
1987, 06, Municipales, PSM-EU, 3640,10
1987, 06, Municipales, UNLE, 3704,13
1987, 06, Municipales, PGN, 4176,2
1987, 06, Municipales, UPG, 4363,11
1987, 06, Municipales, CEU, 4398,6
1987, 06, Municipales, AIGRANC, 4557,2
1987, 06, Municipales, PB, 4726,35
1987, 06, Municipales, PDB, 5118,16
1987, 06, Municipales, CV, 5235,0
1987, 06, Municipales, AM, 5336,23
1987, 06, Municipales, AIDA, 5383,42
1987, 06, Municipales, UIPM, 5492,24
1987, 06, Municipales, LA, 5580,3
1987, 06, Municipales, ADEI-O, 5647,23
1987, 06, Municipales, UPR, 6054,0
1987, 06, Municipales, AV-MEC, 6150,1
1987, 06, Municipales, PPCG, 6186,43
1987, 06, Municipales, UDPM, 6885,25
1987, 06, Municipales, PRP, 7125,51
1987, 06, Municipales, CNC, 7331,1
1987, 06, Municipales, PSI, 7494,15
1987, 06, Municipales, CEV, 9352,17
1987, 06, Municipales, IPN, 9629,132
1987, 06, Municipales, UCC, 9834,4
1987, 06, Municipales, API, 11356,46
1987, 06, Municipales, OIV, 11385,25
1987, 06, Municipales, PSM-EN, 11674,25
1987, 06, Municipales, PMO, 11877,48
1987, 06, Municipales, PL, 12582,58
1987, 06, Municipales, PNG, 18354,38
1987, 06, Municipales, EU, 18483,112
1987, 06, Municipales, FE-JONS, 18920,6
1987, 06, Municipales, LV, 20470,2
1987, 06, Municipales, PCAN, 26343,10
1987, 06, Municipales, PRC, 28227,100
1987, 06, Municipales, PH, 28489,0
1987, 06, Municipales, UPV, 30018,65
1987, 06, Municipales, UM, 32218,119
1987, 06, Municipales, IG, 33032,69
1987, 06, Municipales, AC-INC, 41390,40
1987, 06, Municipales, UPN, 43818,134
1987, 06, Municipales, PSG-EG, 57062,60
1987, 06, Municipales, BNG, 61256,139
1987, 06, Municipales, SI, 72661,129
1987, 06, Municipales, ERC, 75422,188
1987, 06, Municipales, EE, 107354,157
1987, 06, Municipales, AP-PL, 108346,269
1987, 06, Municipales, ATI, 119943,173
1987, 06, Municipales, PAR, 129370,896
1987, 06, Municipales, IU-UPV, 131942,251
1987, 06, Municipales, UV, 148878,215
1987, 06, Municipales, PTC-UC, 185104,179
1987, 06, Municipales, EA, 207054,497
1987, 06, Municipales, PA, 221825,294
1987, 06, Municipales, HB, 239010,669
1987, 06, Municipales, EAJ-PNV, 241832,819
1987, 06, Municipales, PDP-PL, 319519,1520
1987, 06, Municipales, IND-1 43162, 714632,5347
1987, 06, Municipales, CIU, 1004115,4350
1987, 06, Municipales, IU (IPE), 1399364,2315
1987, 06, Municipales, CDS, 1902293,5952
1987, 06, Municipales, AP-CCG, 3972359,16312
1987, 06, Municipales, PSN-PSOE, 7229782,23241
1989, 06, Parlamento Europeo, BACTERIA, 0,0
1989, 06, Parlamento Europeo, P.CAR., 8477,0
1989, 06, Parlamento Europeo, IDE, 8789,0
1989, 06, Parlamento Europeo, LA, 9421,0
1989, 06, Parlamento Europeo, PED, 10392,0
1989, 06, Parlamento Europeo, UNA, 13165,0
1989, 06, Parlamento Europeo, AR, 17189,0
1989, 06, Parlamento Europeo, PH, 19356,0
1989, 06, Parlamento Europeo, C.LL., 19774,0
1989, 06, Parlamento Europeo, FE-JONS, 24340,0
1989, 06, Parlamento Europeo, EPV, 30252,0
1989, 06, Parlamento Europeo, PST-PORE, 38683,0
1989, 06, Parlamento Europeo, BNG, 46052,0
1989, 06, Parlamento Europeo, AV-MEC, 47250,0
1989, 06, Parlamento Europeo, CSD, 52577,0
1989, 06, Parlamento Europeo, VERDE, 58686,0
1989, 06, Parlamento Europeo, FN, 60672,0
1989, 06, Parlamento Europeo, PCPE.PCC, 79970,0
1989, 06, Parlamento Europeo, UPM/FPR, 151835,0
1989, 06, Parlamento Europeo, LVE, 161903,0
1989, 06, Parlamento Europeo, LB, 164524,0
1989, 06, Parlamento Europeo, PTE-UC, 197095,0
1989, 06, Parlamento Europeo, EA, 238909,1
1989, 06, Parlamento Europeo, HB, 269094,1
1989, 06, Parlamento Europeo, UPV/EP, 290286,1
1989, 06, Parlamento Europeo, PA, 295047,1
1989, 06, Parlamento Europeo, EAJ-PNV, 303038,1
1989, 06, Parlamento Europeo, RUIZ-MATEOS, 608560,2
1989, 06, Parlamento Europeo, CIU, 666602,2
1989, 06, Parlamento Europeo, IU-EU, 961742,4
1989, 06, Parlamento Europeo, CDS, 1133429,5
1989, 06, Parlamento Europeo, PP, 3395015,15
1989, 06, Parlamento Europeo, PSC-PSOE, 6275552,27
1989, 10, Congreso, LKI-EMK, 0,0
1989, 10, Congreso, PCE/(M.L.), 0,0
1989, 10, Congreso, P.PR., 245,0
1989, 10, Congreso, PNEM, 301,0
1989, 10, Congreso, PRB, 398,0
1989, 10, Congreso, PRGU, 426,0
1989, 10, Congreso, TAGOROR, 472,0
1989, 10, Congreso, FE (I), 827,0
1989, 10, Congreso, R. X C., 904,0
1989, 10, Congreso, PEE-(LV), 931,0
1989, 10, Congreso, ARDE, 975,0
1989, 10, Congreso, COA, 1041,0
1989, 10, Congreso, PANCAL, 1199,0
1989, 10, Congreso, ACI, 1359,0
1989, 10, Congreso, MV, 1368,0
1989, 10, Congreso, SEV, 1411,0
1989, 10, Congreso, CEU, 2760,0
1989, 10, Congreso, UB, 2883,0
1989, 10, Congreso, PREPAL, 2962,0
1989, 10, Congreso, ENV-URV, 2988,0
1989, 10, Congreso, UA-CH.A, 3156,0
1989, 10, Congreso, UNA, 3218,0
1989, 10, Congreso, GRM, 3330,0
1989, 10, Congreso, PAM, 3396,0
1989, 10, Congreso, FPG, 3657,0
1989, 10, Congreso, PED, 4942,0
1989, 10, Congreso, PAS, 5414,0
1989, 10, Congreso, IGC, 6371,0
1989, 10, Congreso, PORE., 7906,0
1989, 10, Congreso, PSM-ENE, 7989,0
1989, 10, Congreso, EX.U., 10984,0
1989, 10, Congreso, AR, 12807,0
1989, 10, Congreso, PNG-PG, 14411,0
1989, 10, Congreso, PHA, 15936,0
1989, 10, Congreso, CSD Y L, 17095,0
1989, 10, Congreso, VERDE., 21235,0
1989, 10, Congreso, ACN, 21539,0
1989, 10, Congreso, FE-JONS, 24025,0
1989, 10, Congreso, AV-MEC, 25978,0
1989, 10, Congreso, PSG-EG, 34131,0
1989, 10, Congreso, UPV, 40767,0
1989, 10, Congreso, CG, 45821,0
1989, 10, Congreso, BNG, 47763,0
1989, 10, Congreso, PCPE., 62664,0
1989, 10, Congreso, AIC, 64767,1
1989, 10, Congreso, PAR, 71733,1
1989, 10, Congreso, PST., 81218,0
1989, 10, Congreso, ERC, 84756,0
1989, 10, Congreso, PTE/UC, 86257,0
1989, 10, Congreso, EE, 105238,2
1989, 10, Congreso, EVE., 136335,0
1989, 10, Congreso, EA, 136955,2
1989, 10, Congreso, UV, 144924,2
1989, 10, Congreso, LV., 157103,0
1989, 10, Congreso, PA, 212687,2
1989, 10, Congreso, HB, 217278,4
1989, 10, Congreso, RUIZ-MATEOS, 219883,0
1989, 10, Congreso, EAJ-PNV, 254681,5
1989, 10, Congreso, CIU, 1032243,18
1989, 10, Congreso, C.D.S., 1617716,14
1989, 10, Congreso, EU, 1858588,17
1989, 10, Congreso, PP-C DE G, 5285972,107
1989, 10, Congreso, PSOE., 8115568,175
1991, 05, Municipales, SODE-CM, 61,0
1991, 05, Municipales, PCOC, 123,0
1991, 05, Municipales, MFE, 228,0
1991, 05, Municipales, PH, 233,0
1991, 05, Municipales, INCE, 239,0
1991, 05, Municipales, VS, 249,0
1991, 05, Municipales, PUI., 253,0
1991, 05, Municipales, LCR, 254,0
1991, 05, Municipales, PUI, 273,0
1991, 05, Municipales, AA, 291,0
1991, 05, Municipales, IG, 295,0
1991, 05, Municipales, APU, 298,0
1991, 05, Municipales, PRCM, 298,0
1991, 05, Municipales, PAG, 300,1
1991, 05, Municipales, PCM-PM, 305,0
1991, 05, Municipales, PANCAL, 307,1
1991, 05, Municipales, CPC, 352,1
1991, 05, Municipales, UCC-PED, 384,0
1991, 05, Municipales, MCG, 401,1
1991, 05, Municipales, CISN, 431,13
1991, 05, Municipales, EA-EE, 445,3
1991, 05, Municipales, JV, 445,0
1991, 05, Municipales, DU, 469,4
1991, 05, Municipales, UP. DE M., 494,1
1991, 05, Municipales, PRB, 499,1
1991, 05, Municipales, PNC, 503,0
1991, 05, Municipales, EG, 544,2
1991, 05, Municipales, MCE, 584,0
1991, 05, Municipales, FE (I), 605,0
1991, 05, Municipales, PSI, 625,8
1991, 05, Municipales, PUR, 627,0
1991, 05, Municipales, TAGOROR, 630,0
1991, 05, Municipales, OM, 632,1
1991, 05, Municipales, CP, 637,0
1991, 05, Municipales, UC, 642,6
1991, 05, Municipales, ARU, 656,0
1991, 05, Municipales, AIS, 694,2
1991, 05, Municipales, GIF, 705,4
1991, 05, Municipales, MAS, 716,0
1991, 05, Municipales, UPLTA, 772,9
1991, 05, Municipales, UMS, 780,10
1991, 05, Municipales, PEC-VERDE, 781,0
1991, 05, Municipales, LG, 794,0
1991, 05, Municipales, P.I., 845,0
1991, 05, Municipales, AIDA, 902,1
1991, 05, Municipales, OS, 907,4
1991, 05, Municipales, PASE, 919,0
1991, 05, Municipales, NA, 961,0
1991, 05, Municipales, PVE, 984,0
1991, 05, Municipales, FN, 995,1
1991, 05, Municipales, VG, 1000,0
1991, 05, Municipales, PRGU, 1029,1
1991, 05, Municipales, AIGRANC, 1055,0
1991, 05, Municipales, ALICANTON, 1069,0
1991, 05, Municipales, ENE, 1071,1
1991, 05, Municipales, HT, 1077,20
1991, 05, Municipales, UA-PNA, 1091,15
1991, 05, Municipales, AMD, 1137,19
1991, 05, Municipales, ARDE, 1153,2
1991, 05, Municipales, IPT, 1161,4
1991, 05, Municipales, PAI, 1181,8
1991, 05, Municipales, UNV, 1215,2
1991, 05, Municipales, P/CARLISTA, 1218,0
1991, 05, Municipales, PE, 1252,0
1991, 05, Municipales, CA, 1305,0
1991, 05, Municipales, PRSV, 1316,1
1991, 05, Municipales, ADEI-O, 1320,2
1991, 05, Municipales, PNG-PG, 1333,3
1991, 05, Municipales, PDP, 1343,39
1991, 05, Municipales, CIR, 1371,50
1991, 05, Municipales, AHI, 1452,8
1991, 05, Municipales, TC, 1473,0
1991, 05, Municipales, PREPAL, 1511,10
1991, 05, Municipales, CLL, 1546,8
1991, 05, Municipales, LKI-EMK, 1546,2
1991, 05, Municipales, PREC, 1624,0
1991, 05, Municipales, PTGC, 1652,0
1991, 05, Municipales, UPM, 1659,11
1991, 05, Municipales, LVA-UV, 1679,0
1991, 05, Municipales, PRM, 1772,5
1991, 05, Municipales, AAVV-C, 1777,0
1991, 05, Municipales, PNM, 1780,2
1991, 05, Municipales, ARCOIRIS, 1786,0
1991, 05, Municipales, UNAL, 1898,0
1991, 05, Municipales, CCI, 1955,3
1991, 05, Municipales, PORE, 1960,0
1991, 05, Municipales, FIEF, 2048,6
1991, 05, Municipales, PSPC, 2065,2
1991, 05, Municipales, PSI., 2230,3
1991, 05, Municipales, EHB, 2346,0
1991, 05, Municipales, CI, 2452,0
1991, 05, Municipales, CEU, 2501,2
1991, 05, Municipales, UP., 2547,11
1991, 05, Municipales, CUP, 2664,2
1991, 05, Municipales, PI, 2702,0
1991, 05, Municipales, FPG, 2708,6
1991, 05, Municipales, AR, 2765,0
1991, 05, Municipales, AV-MEC, 2802,0
1991, 05, Municipales, PPCG, 2830,15
1991, 05, Municipales, ASI, 2910,14
1991, 05, Municipales, CONCEYU, 3231,3
1991, 05, Municipales, PG, 3440,0
1991, 05, Municipales, EEM, 3606,11
1991, 05, Municipales, UNIC, 3663,65
1991, 05, Municipales, B, 3889,7
1991, 05, Municipales, IB, 4044,26
1991, 05, Municipales, PB., 4363,45
1991, 05, Municipales, PB, 4595,13
1991, 05, Municipales, PIAP, 4723,16
1991, 05, Municipales, EC, 4919,46
1991, 05, Municipales, PAM, 4920,1
1991, 05, Municipales, OIV, 4935,8
1991, 05, Municipales, AM, 4959,21
1991, 05, Municipales, DRCL, 4986,36
1991, 05, Municipales, ACTAL, 4998,4
1991, 05, Municipales, UPAN, 5390,9
1991, 05, Municipales, AIPN, 5497,65
1991, 05, Municipales, PVN, 5545,10
1991, 05, Municipales, CB, 5630,13
1991, 05, Municipales, P.N.C., 5737,1
1991, 05, Municipales, UPI, 6181,26
1991, 05, Municipales, APP, 6234,35
1991, 05, Municipales, PCPE, 6488,17
1991, 05, Municipales, PEC, 6813,16
1991, 05, Municipales, APB, 6944,28
1991, 05, Municipales, IPMO, 7146,68
1991, 05, Municipales, PREX, 7440,35
1991, 05, Municipales, EV, 7813,1
1991, 05, Municipales, PRIM, 7990,9
1991, 05, Municipales, UVE, 8264,0
1991, 05, Municipales, E.U., 8392,32
1991, 05, Municipales, PR, 8461,82
1991, 05, Municipales, LE, 8495,0
1991, 05, Municipales, DS, 8747,4
1991, 05, Municipales, UG, 9333,53
1991, 05, Municipales, PEC-PCC, 9468,5
1991, 05, Municipales, P.M, 9526,9
1991, 05, Municipales, UPL, 9595,28
1991, 05, Municipales, UIM-IM, 10159,21
1991, 05, Municipales, CHA, 10196,16
1991, 05, Municipales, FE-JONS, 10829,11
1991, 05, Municipales, PAS-UNA, 10891,6
1991, 05, Municipales, PST, 11366,0
1991, 05, Municipales, PCC, 14521,4
1991, 05, Municipales, LVLE-H, 16408,0
1991, 05, Municipales, PRC, 18966,69
1991, 05, Municipales, PSM, 20981,54
1991, 05, Municipales, UA, 21269,39
