"Tipo de elecci贸n.","A帽o del proceso electoral.", "Mes del proceso electoral.","C贸digo de la candidatura.", "Siglas de la candidatura.", "Denominaci贸n de la candidatura.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel provincial.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel auton贸mico.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel nacional."
07,1994,06,000027,FORO Y CDS                                        ,COALICION FORO Y CDS                                                                                                                                  ,000027,000027,000027
07,1994,06,000029,PP                                                ,PARTIDO POPULAR                                                                                                                                       ,000029,000029,000029
07,1994,06,000030,FE-JONS                                           ,FALANGE ESPA袿LA DE LAS J.O.N.S                                                                                                                       ,000030,000030,000030
07,1994,06,000031,ADN                                               ,ALTERNATIVA DEMOCRATA NACIONAL                                                                                                                        ,000031,000031,000031
07,1994,06,000032,LVRM                                              ,LOS VERDES DE LA REGION DE MURCIA                                                                                                                     ,000032,000032,000032
07,1994,06,000033,PSOE                                              ,PARTIDO SOCIALISTA OBRERO ESPA袿L                                                                                                                     ,000033,000033,000033
07,1994,06,000034,CPNT                                              ,CAZA, PESCA, NATURALEZA Y TRADICIONES                                                                                                                 ,000034,000034,000034
07,1994,06,000035,PREPAL                                            ,PARTIDO REGIONALISTA DEL PAIS LEONES                                                                                                                  ,000035,000035,000035
07,1994,06,000036,PA-PAP                                            ,COALICION ANDALUCISTA PODER ANDALUZ                                                                                                                   ,000036,000036,000036
07,1994,06,000037,CNPS                                              ,COALICION POR UN NUEVO PARTIDO SOCIALISTA                                                                                                             ,000037,000037,000037
07,1994,06,000038,AG                                                ,ALTERNATIVA GALEGA                                                                                                                                    ,000038,000038,000038
07,1994,06,000039,GPOR-PST                                          ,COALICION GPOR-PST (LVS)                                                                                                                              ,000039,000039,000039
07,1994,06,000041,IU-IC                                             ,IZQUIERDA UNIDA-INICIATIVA PER CATALUNYA                                                                                                              ,000041,000041,000004
07,1994,06,000042,IU-EB                                             ,IZQUIERDA UNIDA - EZKER BATUA                                                                                                                         ,000042,000042,000004
07,1994,06,000043,EU                                                ,ESQUERDA UNIDA                                                                                                                                        ,000043,000043,000004
07,1994,06,000044,EUPV                                              ,ESQUERRA UNIDA DEL PAIS VALENCIA                                                                                                                      ,000044,000044,000004
07,1994,06,000045,IU-CA                                             ,IZQUIERDA UNIDA - CONVOCATORIA POR ANDALUCIA                                                                                                          ,000045,000045,000004
07,1994,06,000046,IUC                                               ,IZQUIERDA UNIDA CANARIA                                                                                                                               ,000046,000046,000004
07,1994,06,000047,IU-EBN                                            ,IZQUIERDA UNIDA - EZKER BATUA DE NAVARRA                                                                                                              ,000047,000047,000004
07,1994,06,000051,PSC-PSOE                                          ,PARTIT DELS SOCIALISTES DE CATALUNYA                                                                                                                  ,000051,000051,000033
07,1994,06,000052,UPV-CIU                                           ,UNITAT DEL POBLE VALENCIA-CONVERGENCIA I UNIO                                                                                                         ,000052,000052,000018
07,1994,06,000053,PSM-NM-CIU                                        ,PSM-NACIONALISTA DE MALLORCA-CONVERGENCIA I UNIO                                                                                                      ,000053,000053,000018
07,1994,06,000054,EAJ-PNV                                           ,EUZKO ALDERDI JELTZALEA-PNV (COALIC. NACIONALISTA)                                                                                                    ,000054,000054,000002
07,1994,06,000055,CC                                                ,COALICION CANARIA (COALICION NACIONALISTA)                                                                                                            ,000055,000055,000002
07,1994,06,000056,UV                                                ,UNIO VALENCIANA (COALICION NACIONALISTA)                                                                                                              ,000056,000056,000002
07,1994,06,000057,PAR                                               ,PARTIDO ARAGONES (COALICION NACIONALISTA)                                                                                                             ,000057,000057,000002
07,1994,06,000058,CG                                                ,COALICION GALEGA (COALICION NACIONALISTA)                                                                                                             ,000058,000058,000002
07,1994,06,000059,UM                                                ,UNIO MALLORQUINA (COALICION NACIONALISTA)                                                                                                             ,000059,000059,000002
07,1994,06,000061,POR                                               ,PARTIT OBRER REVOLUCIONARI                                                                                                                            ,000061,000061,000019
07,1994,06,000062,LIA                                               ,LANGILE IRAULTZAILE ALDERDIA                                                                                                                          ,000062,000062,000019
07,1994,06,000063,POR                                               ,PARTIDO OBREIRO REVOLUCIONARIO                                                                                                                        ,000063,000063,000019
07,1994,06,000071,EA                                                ,EUSKO ALKARTASUNA (PEP)                                                                                                                               ,000071,000071,000007
07,1994,06,000072,TC-PNC                                            ,TIERRA COMUNERA-PART.NACIONALISTA CASTELLANO (PEP)                                                                                                    ,000072,000072,000007
07,1994,06,000073,ERC-ACC                                           ,ESQUERRA REPUBLICANA DE CATALUNYA-A.CATALANA (PEP)                                                                                                    ,000073,000073,000007
07,1994,06,000074,ENE-ERC                                           ,ENTESA NACIONALISTA I ECOLOGISTA-ESQ.REPUBL. (PEP)                                                                                                    ,000074,000074,000007
