"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Colegio","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,2004,06,1,01,18,GRANADA,01,,B,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,A-IZ-PSA-ED                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PFYV                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,P.CANNABIS                                        ,0000002
07,2004,06,1,01,18,GRANADA,01,,A,N.I.V.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,FA                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,DN                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,P.CANNABIS                                        ,0000001
07,2004,06,1,01,18,GRANADA,01,,B,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PADE                                              ,0000001
07,2004,06,1,01,18,GRANADA,01,,A,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PFYV                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,CL                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,N.I.V.                                            ,0000001
07,2004,06,1,01,18,GRANADA,01,,U,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,POSI                                              ,0000000
