Código de Municipio	Nombre de Municipio	Año	Población	Número de mesas	Total censo electoral	Total votantes	Votos válidos	Votos a candidaturas	Votos en blanco	Votos nulos	PP	PSOE	Diferencia
182	Ugíjar                                                                                              	2004	2514	5	2188	1055	1051	1049	2	4	688	317	0
183	Válor                                                                                               	2004	791	1	742	356	354	354	0	2	215	123	0
184	Vélez de Benaudalla                                                                                 	2004	2508	2	2125	1151	1143	1140	3	8	565	439	0
185	Ventas de Huelma                                                                                    	2004	670	1	595	355	353	351	2	2	173	153	0
187	Villanueva de las Torres                                                                            	2004	829	1	644	354	354	354	0	0	285	49	0
188	Villanueva Mesía                                                                                    	2004	2046	2	1639	864	862	858	4	2	548	250	0
189	Víznar                                                                                              	2004	753	1	638	351	351	348	3	0	183	127	0
192	Zafarraya                                                                                           	2004	2225	3	1727	1054	1050	1048	2	4	659	235	0
193	La Zubia                                                                                            	2004	15017	19	11654	4759	4750	4721	29	9	2498	1843	0
194	Zújar                                                                                               	2004	2700	4	2201	1177	1174	1172	2	3	862	240	0
901	La Taha                                                                                             	2004	784	1	652	305	305	303	2	0	144	130	0
902	El Valle                                                                                            	2004	1170	2	1036	716	715	714	1	1	504	191	0
