Código de Municipio	Nombre de Municipio	Año	Población	Número de mesas	Total censo electoral	Total votantes	Votos válidos	Votos a candidaturas	Votos en blanco	Votos nulos	PP	PSOE	Diferencia
178	TORRE-CARDELA                                                                                       	1994	1254	1	1030	797	794	794	0	3	347	414	1
179	TORVIZCON                                                                                           	1994	1149	1	894	622	610	609	1	12	246	316	1
180	TREVELEZ                                                                                            	1994	825	1	632	440	437	437	0	3	71	292	1
181	TURON                                                                                               	1994	444	1	372	217	217	217	0	0	159	50	0
182	UGIJAR                                                                                              	1994	3006	4	2317	1538	1533	1527	6	5	499	934	1
183	VALOR                                                                                               	1994	1120	1	893	623	615	611	4	8	177	395	1
184	VELEZ DE BENAUDALLA                                                                                 	1994	2533	2	1982	1500	1495	1484	11	5	570	616	1
185	VENTAS DE HUELMA                                                                                    	1994	694	1	567	446	442	438	4	4	186	171	0
187	VILLANUEVA DE LAS TORRES                                                                            	1994	1054	1	765	556	556	556	0	0	109	364	1
188	VILLANUEVA MESIA                                                                                    	1994	1926	2	1456	1121	1113	1103	10	8	375	550	1
189	VIZNAR                                                                                              	1994	802	1	561	442	437	437	0	5	165	170	1
192	ZAFARRAYA                                                                                           	1994	2249	3	1767	1354	1345	1339	6	9	270	795	1
193	ZUBIA (LA)                                                                                          	1994	9657	8	7076	4822	4785	4759	26	37	1608	1973	1
194	ZUJAR                                                                                               	1994	3003	3	2397	1662	1641	1638	3	21	362	1162	1
901	TAHA (LA)                                                                                           	1994	981	1	758	437	431	430	1	6	221	152	0
902	VALLE (EL)                                                                                          	1994	1511	3	1225	954	943	941	2	11	248	586	1
903	NEVADA                                                                                              	1994	1513	3	1211	843	829	822	7	14	167	570	1
904	ALPUJARRA DE LA SIERRA                                                                              	1994	1302	2	1057	731	725	722	3	6	139	505	1
905	GABIAS (LAS)                                                                                        	1994	6389	7	4825	3423	3416	3395	21	7	1085	1637	1
906	GUAJARES (LOS)                                                                                      	1994	1504	3	1231	950	943	940	3	7	406	467	1
907	VALLE DEL ZALABI                                                                                    	1994	2502	3	1996	1575	1567	1558	9	8	695	803	1
908	VILLAMENA                                                                                           	1994	1000	2	827	641	640	633	7	1	144	419	1
909	MORELABOR                                                                                           	1994	1038	1	796	625	618	618	0	7	283	296	1
910	PINAR (EL)                                                                                          	1994	1311	2	1020	721	713	711	2	8	254	353	1
911	VEGAS DEL GENIL                                                                                     	1994	2691	4	2118	1500	1489	1481	8	11	534	696	1
912	CUEVAS DEL CAMPO                                                                                    	1994	2380	3	1910	1167	1158	1156	2	9	241	780	1
913	ZAGRA                                                                                               	1994	1267	2	1043	747	738	737	1	9	437	241	0
