"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum.","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Censo del I.N.E.","Censo de escrutinio o censo C.E.R.A.","Censo C.E.R.E. en escrutinio (Residentes Extranjeros).","Total votantes C.E.R.E. (Residentes Extranjeros).","Votantes del primer avance de participación.","Votantes del segundo avance de participación.","Votos en blanco.","Votos nulos.","Votos a candidaturas.","Votos afirmativos en Referéndum o ceros en otros procesos electorales.","Votos negativos en Referéndum o ceros en otros procesos electorales.","Datos oficiales (Si/No)."
07,1994,06,1,01,18,COGOLLOS DE LA VEGA,01,002 ,U,0000938,0000938,0000000,0000000,0000332,0000519,0000009,0000004,0000693,0000000,0000000,N
07,1994,06,1,01,18,CÚLLAR,01,001 ,A,0001081,0001081,0000000,0000000,0000476,0000653,0000004,0000006,0000797,0000000,0000000,N
07,1994,06,1,01,18,CHIMENEAS,01,001 ,A,0000906,0000906,0000000,0000000,0000371,0000582,0000008,0000007,0000700,0000000,0000000,N
07,1994,06,1,01,18,CHURRIANA DE LA VEGA,01,003 ,U,0001070,0001070,0000000,0000000,0000367,0000545,0000008,0000003,0000722,0000000,0000000,N
07,1994,06,1,01,18,FUENTE VAQUEROS,01,002 ,U,0000909,0000909,0000000,0000000,0000370,0000508,0000005,0000009,0000671,0000000,0000000,N
07,1994,06,1,01,18,GOR,01,001 ,U,0001028,0001028,0000000,0000000,0000364,0000551,0000002,0000005,0000654,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,002 ,B,0000885,0000885,0000000,0000000,0000372,0000505,0000009,0000002,0000628,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,011 ,U,0001025,0001025,0000000,0000000,0000443,0000602,0000009,0000003,0000722,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,018 ,B,0000797,0000797,0000000,0000000,0000361,0000440,0000004,0000002,0000536,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,031 ,U,0001371,0001371,0000000,0000000,0000572,0000737,0000017,0000003,0000889,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,032 ,A,0000752,0000752,0000000,0000000,0000318,0000403,0000006,0000003,0000477,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,033 ,U,0001216,0001216,0000000,0000000,0000525,0000740,0000018,0000003,0000923,0000000,0000000,N
