"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Código I.N.E. del municipio (999 = C.E.R.A.).","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Código de la candidatura o del Senador en elecciones al Senado.","Votos obtenidos por la candidatura o el Senador."
07,1987,06,1,01,18,021,01,0002,A,000032,0000000
07,1987,06,1,01,18,021,01,0002,A,000034,0000000
07,1987,06,1,01,18,021,01,0002,A,000108,0000000
07,1987,06,1,01,18,021,01,0003,A,000112,0000001
07,1987,06,1,01,18,021,01,0004,A,000001,0000406
07,1987,06,1,01,18,021,01,0004,A,000113,0000000
07,1987,06,1,01,18,021,01,0005,A,000116,0000000
07,1987,06,1,01,18,021,01,0005,B,000003,0000035
07,1987,06,1,01,18,021,01,0005,B,000018,0000000
07,1987,06,1,01,18,022,01,0001,A,000010,0000000
07,1987,06,1,01,18,022,01,0002,A,000009,0000003
07,1987,06,1,01,18,022,01,0003,A,000018,0000000
07,1987,06,1,01,18,022,01,0003,A,000022,0000000
07,1987,06,1,01,18,022,01,0004,A,000018,0000000
07,1987,06,1,01,18,022,01,0004,A,000098,0000000
07,1987,06,1,01,18,022,01,0004,A,000105,0000001
07,1987,06,1,01,18,022,01,0004,B,000106,0000000
07,1987,06,1,01,18,022,02,0001,A,000109,0000000
07,1987,06,1,01,18,023,01,0001,A,000034,0000000
07,1987,06,1,01,18,023,01,0001,A,000067,0000000
07,1987,06,1,01,18,023,01,0001,A,000113,0000000
07,1987,06,1,01,18,023,01,0002,A,000004,0000018
07,1987,06,1,01,18,023,01,0002,A,000034,0000001
07,1987,06,1,01,18,023,01,0002,A,000116,0000000
07,1987,06,1,01,18,023,01,0002,B,000001,0000260
07,1987,06,1,01,18,023,01,0002,B,000023,0000000
07,1987,06,1,01,18,023,01,0002,B,000067,0000000
07,1987,06,1,01,18,023,01,0003,A,000020,0000009
07,1987,06,1,01,18,022,01,0004,B,000108,0000000
07,1987,06,1,01,18,022,01,0004,B,000109,0000000
07,1987,06,1,01,18,022,02,0002,A,000003,0000042
07,1987,06,1,01,18,022,02,0002,A,000022,0000001
07,1987,06,1,01,18,023,01,0001,A,000010,0000000
